,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1999,2981,Female,Loyal Customer,43,Personal Travel,Eco,462,3,4,3,3,4,4,3,1,1,3,1,3,1,4,0,0,neutral or dissatisfied
2000,56007,Male,Loyal Customer,27,Business travel,Business,2586,2,2,2,2,2,2,2,3,3,4,5,2,4,2,0,0,satisfied
2001,30434,Female,Loyal Customer,28,Business travel,Eco,483,0,0,0,4,3,0,3,3,2,3,3,1,5,3,0,0,satisfied
2002,68109,Female,Loyal Customer,43,Personal Travel,Eco,813,1,3,1,3,5,4,4,4,4,1,4,3,4,1,2,0,neutral or dissatisfied
2003,72887,Female,Loyal Customer,41,Business travel,Business,1035,3,5,3,3,2,4,5,4,4,5,4,3,4,4,0,0,satisfied
2004,72940,Female,disloyal Customer,26,Business travel,Business,1035,3,3,3,1,2,3,2,2,3,3,4,5,5,2,41,,neutral or dissatisfied
2005,4384,Male,Loyal Customer,18,Personal Travel,Eco,618,3,5,3,4,5,3,5,5,4,3,5,5,5,5,15,44,neutral or dissatisfied
2006,81658,Female,Loyal Customer,29,Business travel,Business,907,5,5,5,5,4,4,4,4,5,4,5,5,5,4,0,0,satisfied
2007,87180,Female,Loyal Customer,50,Business travel,Business,946,4,4,4,4,3,5,5,4,4,4,4,5,4,4,51,44,satisfied
2008,79868,Female,Loyal Customer,40,Business travel,Business,1937,3,3,3,3,2,5,4,4,4,4,4,4,4,4,0,0,satisfied
2009,81239,Male,Loyal Customer,71,Business travel,Eco Plus,223,2,1,1,1,1,2,1,1,4,4,4,3,3,1,0,0,neutral or dissatisfied
2010,33528,Female,Loyal Customer,42,Business travel,Business,228,2,3,3,3,1,4,3,2,2,2,2,4,2,3,0,0,neutral or dissatisfied
2011,71189,Female,Loyal Customer,58,Business travel,Business,2773,5,5,1,5,5,4,5,4,4,4,4,3,4,3,0,0,satisfied
2012,121155,Male,Loyal Customer,35,Business travel,Business,2370,4,2,3,3,4,4,4,4,4,4,4,3,4,1,53,22,neutral or dissatisfied
2013,51822,Female,Loyal Customer,45,Business travel,Eco Plus,355,2,3,3,3,5,2,5,2,2,2,2,5,2,2,0,9,satisfied
2014,45291,Female,Loyal Customer,33,Business travel,Eco,150,2,2,2,2,2,2,2,2,4,1,3,1,4,2,0,20,neutral or dissatisfied
2015,31623,Female,Loyal Customer,51,Business travel,Business,3591,3,3,3,3,2,2,1,5,5,5,5,5,5,1,0,6,satisfied
